year,name,code,pp_result,fix,pay,prize,paper,graduate,open,protect,compete,fluid,manage,guest,raise,proj,fund
1990,合计,1,0.141494445,1985,162427,128,5915,643,0.652963739,0.318743079,0.419585172,4.481108312,1.777723054,8895,91368,2209,188474
1990,国家教委,2,0.075705968,877,47451,61,3431,423,2.363383338,0.044521449,1,5.832383124,1.087577355,5115,43630,1175,83708
1990,国家卫生健康委员会,3,0.000497853,20,685,0,80,1,0.883548759,0.299165296,0.405990849,6.3,0.977175464,126,701,16,4669
1990,农业部,4,0.005148345,183,2847,5,251,12,1.223875303,0.03471878,0.7563505,0.699453552,0.860640871,128,3308,66,9188
1990,卫生部,5,0.011517989,196,2373,7,798,17,1.027276317,0.71997051,0.625861333,5.908163265,0.425726588,1158,5574,113,37614
1990,中国科学院,6,0.088664735,681,47451,53,5864,186,1.133206199,0.220088698,0.42884124,3.453744493,1.269931754,2352,37365,826,4697
1991,合计,1,0.23963806,2154,135497,202,11832,697,0.669255398,0.278485232,0.387743529,5.578922934,1.625151424,12017,83375,2506,141214.9
1991,国家教委,2,0.100125934,967,76805,80,4767,478,2.258532017,0.014768416,1,6.915201655,1.908056542,6687,40253,1318,56969
1991,国家卫生健康委员会,3,0.01030806,39,3492,8,639,5,0.841194812,0.261632064,0.378634746,15.56410256,1.735586481,607,2012,47,12614
1991,农业部,4,0.024124121,153,2154,17,1565,9,1.179180199,0.018037312,0.7563505,1.954248366,1.022792023,299,2106,61,2542
1991,卫生部,5,0.01733906,249,8918,16,868,23,1.327952381,0.582189781,0.593322375,3.393574297,2.350553506,845,3794,120,5613
1991,中国科学院,6,0.074509152,718,58821,78,2900,174,1.048723649,0.219350624,0.382435574,4.594707521,1.708671024,3299,34425,932,37174
1992,合计,1,0.275480018,2208,147187,244,13019,751,0.663566804,0.305836934,0.388776582,5.370471014,1.142498972,11858,128829,3053,423718
1992,国家教委,2,0.171098018,988,71140,119,10038,464,2.154478075,0.043734576,1,6.203441296,1.155883404,6129,61546,1563,96091
1992,国家卫生健康委员会,3,0.018552348,52,720,14,1099,30,0.82085591,0.287818911,0.380567487,13.15384615,0.410958904,684,1752,46,7035
1992,农业部,4,0.013477061,156,8050,15,509,26,1.142552962,0.028618778,0.7563505,2.442307692,1.442910916,381,5579,143,10376
1992,卫生部,5,0.012066308,253,21413,14,350,54,1.275452208,0.590790729,0.593322375,4.95256917,2.258755274,1253,9480,187,33322
1992,中国科学院,6,0.07450035,722,61050,77,2900,198,1.011166003,0.2384959,0.385099484,4.447368421,1.246987214,3211,48958,1080,32157
1993,合计,1,0.242139706,2315,186691,200,11832,855,0.630689594,0.278731062,0.388776582,4.000863931,1.367118733,9262,136558,3586,139733
1993,国家教委,2,0.163622226,1035,100497,104,9934,546,1.942962601,0.03321069,1,4.477294686,1.483372448,4634,67749,1736,79400.6
1993,国家卫生健康委员会,3,0.005542371,40,605.29,6,253,4,0.763769129,0.271769472,0.380372456,7.025,0.251679834,281,2405,74,5593
1993,农业部,4,0.010244921,160,10428,13,257,37,1.054254507,0.022863029,0.7563505,2.1875,1.852220249,350,5630,193,8492
1993,卫生部,5,0.016650698,277,26640,17,667,51,1.171891559,0.500920403,0.593322375,10.41877256,2.786028028,2886,9562,313,62429
1993,中国科学院,6,0.053646797,775,47451,54,2023,208,0.915718655,0.249146558,0.385380382,1.156129032,0.951398496,896,49875,1183,62429
1994,合计,1,0.166141646,2327,156102,160,5983,911,0.595640427,0.251996683,0.388776582,5.156424581,0.991092346,11999,157505,2637,113983
1994,国家教委,2,0.096120323,1037,71140,94,3262,579,1.815088354,0.041956308,1,6.357762777,1.007448948,6593,70614,1395,56969
1994,国家卫生健康委员会,3,0.002752259,69,3301,4,70,6,0.720136823,0.245986193,0.380372456,4.420289855,1.195581311,305,2761,41,1781
